Indicator,value,region
Avg_temp,86.361153,southern
Min_temp,5.64,southern
Precipitation_avg,18.436354,southern
Avg_temp,74.494804,western
Min_temp,6.07,western
Precipitation_avg,7.498224,western
Avg_temp,72.389549,northern
Min_temp,6.05,northern
Precipitation_avg,-1.999486,northern
