#  Eastern NWS Region June Minimum Temperature,,
# Units: Degrees Fahrenheit,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200806,59.4,1.2
200906,57.7,-0.5
201006,60.8,2.6
201106,58.9,0.7
201206,56.4,-1.8
201306,58.9,0.7
201406,58.6,0.4
201506,59.2,1
201606,57.9,-0.3
201706,57.6,-0.6
201806,58.8,0.6
201906,57.4,-0.8
202006,58,-0.2
202106,59.4,1.2
202206,57.4,-0.8
