station_id,state,date,datatype,value
GHCND:USC00010063,AL,2020-01-28T00:00:00,TMIN,-22
GHCND:USC00010063,AL,2020-01-29T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-01-29T00:00:00,TMAX,161
GHCND:USC00010063,AL,2020-01-29T00:00:00,TMIN,6
GHCND:USC00010063,AL,2020-01-30T00:00:00,PRCP,10
GHCND:USC00010063,AL,2020-01-30T00:00:00,TMAX,94
GHCND:USC00010063,AL,2020-01-30T00:00:00,TMIN,0
GHCND:USC00010063,AL,2020-01-31T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-01-31T00:00:00,TMAX,150
GHCND:USC00010063,AL,2020-01-31T00:00:00,TMIN,0
GHCND:USC00010063,AL,2020-02-01T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-01T00:00:00,TMAX,111
GHCND:USC00010063,AL,2020-02-01T00:00:00,TMIN,61
GHCND:USC00010063,AL,2020-02-02T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-02T00:00:00,TMAX,94
GHCND:USC00010063,AL,2020-02-02T00:00:00,TMIN,-33
GHCND:USC00010063,AL,2020-02-03T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-03T00:00:00,TMAX,194
GHCND:USC00010063,AL,2020-02-03T00:00:00,TMIN,-33
GHCND:USC00010063,AL,2020-02-04T00:00:00,PRCP,8
GHCND:USC00010063,AL,2020-02-04T00:00:00,TMAX,211
GHCND:USC00010063,AL,2020-02-04T00:00:00,TMIN,50
GHCND:USC00010063,AL,2020-02-05T00:00:00,PRCP,274
GHCND:USC00010063,AL,2020-02-05T00:00:00,TMAX,178
GHCND:USC00010063,AL,2020-02-05T00:00:00,TMIN,133
GHCND:USC00010063,AL,2020-02-06T00:00:00,PRCP,770
GHCND:USC00010063,AL,2020-02-06T00:00:00,TMAX,194
GHCND:USC00010063,AL,2020-02-06T00:00:00,TMIN,106
GHCND:USC00010063,AL,2020-02-07T00:00:00,PRCP,66
GHCND:USC00010063,AL,2020-02-07T00:00:00,TMAX,106
GHCND:USC00010063,AL,2020-02-07T00:00:00,TMIN,0
GHCND:USC00010063,AL,2020-02-08T00:00:00,PRCP,15
GHCND:USC00010063,AL,2020-02-08T00:00:00,TMAX,61
GHCND:USC00010063,AL,2020-02-08T00:00:00,TMIN,0
GHCND:USC00010063,AL,2020-02-09T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-09T00:00:00,TMAX,128
GHCND:USC00010063,AL,2020-02-09T00:00:00,TMIN,-17
GHCND:USC00010063,AL,2020-02-10T00:00:00,PRCP,112
GHCND:USC00010063,AL,2020-02-10T00:00:00,TMAX,161
GHCND:USC00010063,AL,2020-02-10T00:00:00,TMIN,22
GHCND:USC00010063,AL,2020-02-11T00:00:00,PRCP,953
GHCND:USC00010063,AL,2020-02-11T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-02-11T00:00:00,TMIN,100
GHCND:USC00010063,AL,2020-02-12T00:00:00,PRCP,79
GHCND:USC00010063,AL,2020-02-12T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-02-12T00:00:00,TMIN,61
GHCND:USC00010063,AL,2020-02-13T00:00:00,PRCP,521
GHCND:USC00010063,AL,2020-02-13T00:00:00,TMAX,211
GHCND:USC00010063,AL,2020-02-13T00:00:00,TMIN,61
GHCND:USC00010063,AL,2020-02-14T00:00:00,PRCP,0
