#  Eastern NWS Region June Precipitation,,
# Units: Inches,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200806,4.28,-0.32
200906,4.98,0.38
201006,4.36,-0.24
201106,3.64,-0.96
201206,3.58,-1.02
201306,7.29,2.69
201406,4.4,-0.2
201506,6.85,2.25
201606,3.75,-0.85
201706,4.37,-0.23
201806,4.54,-0.06
201906,5.52,0.92
202006,3.63,-0.97
202106,4.13,-0.47
202206,3.39,-1.21
