#  Western NWS Region June Minimum Temperature,,
# Units: Degrees Fahrenheit,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200806,49,-1.9
200906,49.3,-1.6
201006,49.7,-1.2
201106,48.1,-2.8
201206,49.7,-1.2
201306,51.7,0.8
201406,50.2,-0.7
201506,54.7,3.8
201606,52.9,2
201706,52.1,1.2
201806,51.2,0.3
201906,50,-0.9
202006,50.4,-0.5
202106,55.1,4.2
202206,51.3,0.4
